model,fold,params,accuracy,precision,sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp
Naive Bayes,2,"{""smote"": false, ""cap_outliers"": true, ""feature_count"": 8, ""smoothing"": 1e-09}",0.7402597402597403,0.64,0.5925925925925926,0.82,0.6153846153846154,0.8022222222222222,41,9,11,16
Logistic Regression,2,"{""smote"": false, ""cap_outliers"": true, ""feature_count"": 8, ""c"": 0.1}",0.7792207792207793,0.75,0.5555555555555556,0.9,0.6382978723404256,0.82,45,5,12,15
J48 reference,2,{},0.7792207792207793,0.6923076923076923,0.6666666666666666,0.84,0.6792452830188679,0.8392592592592593,42,8,9,18
J48 zeros untreated,2,"{""zero_missing"": false}",0.7662337662337663,0.7142857142857143,0.5555555555555556,0.88,0.625,0.8248148148148149,44,6,12,15
J48 unpruned,2,"{""unpruned"": true}",0.7792207792207793,0.6923076923076923,0.6666666666666666,0.84,0.6792452830188679,0.8403703703703703,42,8,9,18
J48 SMOTE,2,"{""smote"": true}",0.7792207792207793,0.6666666666666666,0.7407407407407407,0.8,0.7017543859649122,0.7944444444444444,40,10,7,20
J48 capped,2,"{""cap_outliers"": true}",0.7402597402597403,0.6296296296296297,0.6296296296296297,0.8,0.6296296296296297,0.7670370370370371,40,10,10,17
J48 five features,2,"{""feature_count"": 5}",0.7922077922077922,0.7037037037037037,0.7037037037037037,0.84,0.7037037037037037,0.847037037037037,42,8,8,19
J48,3,"{""smote"": false, ""cap_outliers"": false, ""feature_count"": 5, ""confidence"": 0.25, ""min_leaf"": 20}",0.7142857142857143,0.5806451612903226,0.6666666666666666,0.74,0.6206896551724138,0.7788888888888889,37,13,9,18
Naive Bayes,3,"{""smote"": true, ""cap_outliers"": true, ""feature_count"": 5, ""smoothing"": 1e-09}",0.6753246753246753,0.53125,0.6296296296296297,0.7,0.576271186440678,0.7288888888888889,35,15,10,17
Logistic Regression,3,"{""smote"": false, ""cap_outliers"": true, ""feature_count"": 8, ""c"": 1.0}",0.7792207792207793,0.75,0.5555555555555556,0.9,0.6382978723404256,0.7888888888888889,45,5,12,15
J48 reference,3,{},0.6883116883116883,0.5483870967741935,0.6296296296296297,0.72,0.5862068965517241,0.6622222222222223,36,14,10,17
J48 zeros untreated,3,"{""zero_missing"": false}",0.7272727272727273,0.6153846153846154,0.5925925925925926,0.8,0.6037735849056604,0.762962962962963,40,10,11,16
